Date,Team,Opp,Player,Stat,Oodds,Uodds,Line,l10,l10diff,Identifier,Pos,imp.Ov.Prob,imp.Un.Prob,Ov.pred,Ov.P.Diff,BetRec,BetMade,NumL5Ohit,PctL5Ohit,BetHit,Points,Assists,Rebounds,3s,isB2B,isB2BFirst,isB2BSecond,countDaysRestTeam,Difference,Result,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
5/8/21,WAS,IND,Beal,3s,1.71,2.08,1.5,1.9,-0.4,WAS-Beal,SG,,,,,NA,NA,,,,50,1,5,3,FALSE,FALSE,FALSE,1,-1.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,POR,SAS,McCollum,3s,1.65,2.18,2.5,2.8,-0.3,POR-McCollum,SG,,,,,NA,NA,,,,27,2,5,4,TRUE,FALSE,TRUE,0,-1.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,POR,SAS,Lillard,3s,1.67,2.15,3.5,4.5,-1,POR-Lillard,PG,,,,,NA,NA,,,,30,8,4,4,TRUE,FALSE,TRUE,0,-0.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,MEM,TOR,Brooks,3s,2.30,1.59,2.5,2.2,0.3,MEM-Brooks,SF,,,,,NA,NA,,,,15,3,2,3,TRUE,FALSE,TRUE,0,-0.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,DEN,BKN,Campazzo,3s,1.64,2.20,1.5,1.4,0.1,DEN-Campazzo,PG,,,,,NA,NA,,,,19,5,2,3,TRUE,FALSE,TRUE,0,-1.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,MEM,TOR,Morant,3s,1.85,1.91,1.5,1.4,0.1,MEM-Morant,PG,,,,,NA,NA,,,,12,6,7,0,FALSE,FALSE,FALSE,1,1.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,BKN,DEN,Harris,3s,1.89,1.87,2.5,2.7,-0.2,BKN-Harris,SF,,,,,NA,NA,,,,8,5,5,2,FALSE,FALSE,FALSE,1,0.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,GSW,OKC,Bazemore,3s,1.66,2.16,1.5,2,-0.5,GSW-Bazemore,SF,,,,,NA,NA,,,,5,1,5,1,FALSE,FALSE,FALSE,1,0.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,BKN,DEN,Durant,3s,1.74,2.05,2.5,3,-0.5,BKN-Durant,PF,,,,,NA,NA,,,,33,7,11,3,FALSE,FALSE,FALSE,1,-0.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,MEM,TOR,Anderson,3s,2.17,1.66,1.5,1.7,-0.2,MEM-Anderson,PF,,,,,NA,NA,,,,16,5,5,2,FALSE,FALSE,FALSE,1,-0.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,BKN,DEN,Irving,3s,1.80,1.97,2.5,3.2,-0.7,BKN-Irving,PG,,,,,NA,NA,,,,31,4,0,4,FALSE,FALSE,FALSE,1,-1.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,DEN,BKN,Jokic,3s,2.24,1.62,1.5,1.1,0.4,DEN-Jokic,C,,,,,NA,NA,,,,29,6,7,0,TRUE,FALSE,TRUE,0,1.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,POR,SAS,Powell,3s,2.41,1.54,2.5,1.8,0.7,POR-Powell,SF,,,,,NA,NA,,,,18,1,6,2,TRUE,FALSE,TRUE,0,0.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
