Player,Pos,Identifier
Favors,C,UTA-Favors
Forrest,PG,UTA-Forrest
Gobert,C,UTA-Gobert
Hughes,SF,UTA-Hughes
Illyasova,C,UTA-Illyasova
Ingles,PF,UTA-Ingles
Mitchell,PG,UTA-Mitchell
Morgan,C,UTA-Morgan
Niang,PF,UTA-Niang
O'Neale,SF,UTA-O'Neale
Oni,SG,UTA-Oni
Avdija,SF,WAS-Avdija
Beal,SG,WAS-Beal
Bell,PF,WAS-Bell
Bertans,PF,WAS-Bertans
Bonga,SF,WAS-Bonga
Bryant,C,WAS-Bryant
Gill,PF,WAS-Gill
Hachimura,PF,WAS-Hachimura
Hutchison,SF,WAS-Hutchison
Len,C,WAS-Len
Lopez,C,WAS-Lopez
Mathews,SF,WAS-Mathews
Neto,PG,WAS-Neto
Pasecniks,C,WAS-Pasecniks
Robinson,SG,WAS-Robinson
Smith,PG,WAS-Smith
Westbrook,PG,WAS-Westbrook
Winston,PG,WAS-Winston
